seq_len,iso_count,n_dons,n_accs,time
300,0,1,4,1.5020370483398438e-05
300,0,1,6,1.239776611328125e-05
300,0,3,1,1.1444091796875e-05
300,0,4,1,1.049041748046875e-05
300,0,3,2,1.049041748046875e-05
300,0,5,3,1.0728836059570312e-05
300,1,3,2,1.239776611328125e-05
300,0,4,4,1.1444091796875e-05
300,0,2,2,1.0251998901367188e-05
300,0,1,1,9.059906005859375e-06
300,0,1,5,9.298324584960938e-06
300,0,1,2,9.059906005859375e-06
300,0,2,2,9.775161743164062e-06
300,0,2,5,1.0251998901367188e-05
300,0,2,2,9.5367431640625e-06
300,0,5,3,1.1682510375976562e-05
300,1,5,3,1.239776611328125e-05
300,0,4,3,1.1205673217773438e-05
300,0,4,5,1.049041748046875e-05
300,1,4,6,1.2636184692382812e-05
300,0,3,5,1.0728836059570312e-05
300,0,2,1,9.059906005859375e-06
300,0,5,2,1.1205673217773438e-05
300,0,1,2,8.821487426757812e-06
300,0,1,4,9.298324584960938e-06
300,2,4,3,1.2874603271484375e-05
300,0,3,5,1.0013580322265625e-05
300,0,3,1,9.775161743164062e-06
300,0,3,3,1.0013580322265625e-05
300,0,0,2,8.58306884765625e-06
300,0,0,2,8.106231689453125e-06
300,0,4,2,1.049041748046875e-05
300,0,2,1,9.298324584960938e-06
300,2,5,4,1.33514404296875e-05
300,0,2,4,9.5367431640625e-06
300,0,4,2,1.0251998901367188e-05
300,2,3,6,1.2636184692382812e-05
300,0,3,3,1.049041748046875e-05
300,0,4,2,1.049041748046875e-05
300,0,1,2,9.059906005859375e-06
300,0,5,1,1.0013580322265625e-05
300,0,5,5,1.1682510375976562e-05
300,0,3,3,9.775161743164062e-06
300,1,5,2,1.1920928955078125e-05
300,3,5,6,1.4781951904296875e-05
300,0,1,5,9.5367431640625e-06
300,1,4,4,1.1920928955078125e-05
300,0,4,2,1.0251998901367188e-05
300,0,2,4,8.821487426757812e-06
300,0,2,5,1.1682510375976562e-05
300,0,2,2,9.298324584960938e-06
300,0,2,2,9.5367431640625e-06
300,0,1,2,8.821487426757812e-06
300,1,4,2,1.1444091796875e-05
300,0,1,2,9.298324584960938e-06
300,0,3,3,1.0251998901367188e-05
300,0,1,2,9.059906005859375e-06
300,0,2,5,9.5367431640625e-06
300,0,1,3,8.821487426757812e-06
300,0,2,2,8.821487426757812e-06
300,0,3,4,1.0013580322265625e-05
300,0,1,1,9.059906005859375e-06
300,0,4,3,1.0728836059570312e-05
300,2,2,3,1.2159347534179688e-05
300,0,3,2,1.049041748046875e-05
300,0,5,4,1.1682510375976562e-05
300,0,5,3,1.049041748046875e-05
300,0,3,2,1.0013580322265625e-05
300,0,6,4,1.1682510375976562e-05
300,0,2,4,9.775161743164062e-06
300,0,2,2,9.5367431640625e-06
300,0,0,3,8.106231689453125e-06
300,0,4,2,1.0251998901367188e-05
300,0,2,3,9.059906005859375e-06
300,1,5,4,1.1920928955078125e-05
300,0,3,5,1.0251998901367188e-05
300,0,1,3,9.298324584960938e-06
300,0,4,1,1.0013580322265625e-05
300,1,9,3,1.430511474609375e-05
300,0,2,1,9.5367431640625e-06
300,0,0,2,8.58306884765625e-06
300,0,5,4,1.0967254638671875e-05
300,0,2,6,9.5367431640625e-06
300,0,2,4,9.5367431640625e-06
300,0,1,0,9.5367431640625e-06
300,5,5,9,1.7642974853515625e-05
300,2,5,3,1.33514404296875e-05
300,3,4,4,1.33514404296875e-05
300,0,2,1,9.775161743164062e-06
300,0,1,4,9.5367431640625e-06
300,2,3,1,1.1205673217773438e-05
300,1,5,5,1.1920928955078125e-05
300,0,4,4,1.0967254638671875e-05
300,0,1,3,1.049041748046875e-05
300,0,3,1,9.5367431640625e-06
300,1,2,4,1.0967254638671875e-05
300,0,1,2,9.059906005859375e-06
300,0,2,1,9.298324584960938e-06
300,0,2,0,8.821487426757812e-06
300,1,2,4,1.049041748046875e-05
350,12,5,5,2.7894973754882812e-05
350,3,2,5,1.9073486328125e-05
350,3,1,4,1.7404556274414062e-05
350,11,4,5,2.3603439331054688e-05
350,2,6,3,1.9311904907226562e-05
350,11,8,6,2.7179718017578125e-05
350,7,4,7,2.288818359375e-05
350,4,6,5,2.193450927734375e-05
350,11,5,10,3.266334533691406e-05
350,3,8,5,2.384185791015625e-05
350,1,3,8,1.811981201171875e-05
350,4,6,4,2.4318695068359375e-05
350,10,8,6,3.0040740966796875e-05
350,10,6,6,2.6941299438476562e-05
350,16,6,8,3.266334533691406e-05
350,3,4,3,1.9550323486328125e-05
350,7,7,4,2.956390380859375e-05
350,0,5,6,1.7881393432617188e-05
350,17,7,11,3.3855438232421875e-05
350,3,7,6,2.384185791015625e-05
350,17,9,7,4.482269287109375e-05
350,4,5,8,2.47955322265625e-05
350,6,7,3,2.4318695068359375e-05
350,1,4,3,1.8835067749023438e-05
350,9,8,4,2.5987625122070312e-05
350,6,5,4,2.193450927734375e-05
350,14,7,10,3.170967102050781e-05
350,0,3,6,1.71661376953125e-05
350,3,4,5,1.9788742065429688e-05
350,6,2,6,1.9550323486328125e-05
350,4,5,8,2.193450927734375e-05
350,11,9,8,3.1948089599609375e-05
350,10,6,7,2.6226043701171875e-05
350,12,6,5,2.7418136596679688e-05
350,1,4,2,1.7404556274414062e-05
350,10,7,9,2.765655517578125e-05
350,4,3,10,2.002716064453125e-05
350,5,5,4,2.47955322265625e-05
350,14,7,6,3.147125244140625e-05
350,8,6,7,2.4318695068359375e-05
350,10,6,6,3.123283386230469e-05
350,19,10,4,3.5762786865234375e-05
350,8,8,5,2.5033950805664062e-05
350,1,2,2,1.6450881958007812e-05
350,9,6,9,2.8848648071289062e-05
350,0,5,4,1.7404556274414062e-05
350,5,2,6,1.8835067749023438e-05
350,3,2,4,1.7404556274414062e-05
