seq_len,iso_count,n_dons,n_accs,time
300,0,3,2,4.267692565917969e-05
300,0,2,3,3.7670135498046875e-05
300,0,2,2,3.504753112792969e-05
300,1,2,4,4.076957702636719e-05
300,0,1,1,3.1948089599609375e-05
300,0,2,3,3.361701965332031e-05
300,0,5,1,3.600120544433594e-05
300,0,4,2,5.435943603515625e-05
300,0,3,3,3.5762786865234375e-05
300,2,4,5,4.696846008300781e-05
400,11,9,4,0.00025153160095214844
400,11,10,6,0.0001785755157470703
400,2,10,3,0.000213623046875
400,5,5,4,0.00011563301086425781
400,2,7,4,0.0001049041748046875
400,4,8,2,0.00011467933654785156
400,11,8,5,0.000179290771484375
400,1,6,3,0.00013685226440429688
400,11,8,7,0.0001571178436279297
400,6,5,7,0.00017452239990234375
500,43,10,8,0.0005266666412353516
500,50,12,8,0.0005748271942138672
500,55,12,6,0.0006053447723388672
500,122,12,11,0.0009672641754150391
500,115,18,10,0.001323699951171875
500,144,8,12,0.0010793209075927734
500,192,15,14,0.001986265182495117
500,8,3,6,0.00019431114196777344
500,729,16,16,0.004680633544921875
500,435,17,13,0.0032951831817626953
600,1974,19,14,0.012335062026977539
600,908,19,19,0.01733994483947754
600,1667,20,14,0.00880122184753418
600,2642,15,16,0.011541128158569336
600,727,16,13,0.004616737365722656
600,868,16,14,0.006480693817138672
600,1574,18,15,0.007740497589111328
600,559,18,12,0.007993221282958984
600,784,18,18,0.008427143096923828
600,989,15,14,0.005681514739990234
700,48713,25,21,0.24734282493591309
700,3135,18,14,0.017572402954101562
700,9983,24,19,0.07266974449157715
700,5665,18,17,0.02307915687561035
700,4223,22,15,0.031171798706054688
700,12541,25,19,0.16042351722717285
700,2393,18,13,0.011693239212036133
700,2087,14,17,0.02242445945739746
700,5567,23,17,0.044542551040649414
700,27059,22,23,0.12575101852416992
800,4183,25,12,0.027239084243774414
800,69821,27,26,0.41042089462280273
800,79442,24,26,0.4934349060058594
800,48307,28,25,0.3066091537475586
800,23510,22,20,0.1333463191986084
800,21379,23,22,0.1406691074371338
800,11934,21,20,0.06716299057006836
800,9119,21,18,0.07031583786010742
800,6249,20,20,0.08897066116333008
800,11157,18,20,0.09358811378479004
