# Geniso Percentile Cutoff Performance Test - Raw Data Stream
# Date: 2025-08-17 13:42:56
# Parameters: min_intron=35 min_exon=25 flank=99 limit=100
# High-score threshold: 75.0th percentile
# Percentiles tested: [10, 20, 30]
# Baseline addition: DISABLED
#
# Column Definitions:
#   Col 1: gene        - Name of the gene/sequence
#   Col 2: length      - Gene sequence length (bp)
#   Col 3: base_don    - Baseline donor sites
#   Col 4: base_acc    - Baseline acceptor sites
#   Col 5: base_iso    - Baseline isoforms
#   Col 6: base_cplx   - Baseline complexity score
#   Col 7: base_rt     - Baseline runtime (s)
#   Col 8: hmm_rt      - HMM runtime (s)
# --- Percentile 10% columns ---
#   Col 9: p10_don     - Donor sites at 10%
#   Col 10: p10_acc     - Acceptor sites at 10%
#   Col 11: p10_iso     - Isoforms at 10%
#   Col 12: p10_ret     - Retention % at 10%
#   Col 13: p10_hsr     - High-score retention % at 10%
#   Col 14: p10_cplx    - Complexity ratio at 10%
#   Col 15: p10_speed   - Speedup factor at 10%
#   Col 16: p10_rt      - Runtime at 10% (s)
# --- Percentile 20% columns ---
#   Col 17: p20_don     - Donor sites at 20%
#   Col 18: p20_acc     - Acceptor sites at 20%
#   Col 19: p20_iso     - Isoforms at 20%
#   Col 20: p20_ret     - Retention % at 20%
#   Col 21: p20_hsr     - High-score retention % at 20%
#   Col 22: p20_cplx    - Complexity ratio at 20%
#   Col 23: p20_speed   - Speedup factor at 20%
#   Col 24: p20_rt      - Runtime at 20% (s)
# --- Percentile 30% columns ---
#   Col 25: p30_don     - Donor sites at 30%
#   Col 26: p30_acc     - Acceptor sites at 30%
#   Col 27: p30_iso     - Isoforms at 30%
#   Col 28: p30_ret     - Retention % at 30%
#   Col 29: p30_hsr     - High-score retention % at 30%
#   Col 30: p30_cplx    - Complexity ratio at 30%
#   Col 31: p30_speed   - Speedup factor at 30%
#   Col 32: p30_rt      - Runtime at 30% (s)
#
ch.1_0                    489       11        7       29     0.0388     0.0009     0.0045        7        3       15    51.72    50.00   0.6371     2.13     0.0004        6        3       13    44.83    50.00   0.6371     2.61     0.0004        5        2        5    17.24    25.00   0.0001     6.70     0.0001
ch.1_1                    479        8        7       29     0.0371     0.0008     0.0038        3        6       18    62.07    62.50   0.9882     1.39     0.0006        3        5       16    55.17    50.00   0.9882     1.81     0.0005        2        4        8    27.59    25.00   0.0256     3.88     0.0002
ch.1_10                   656       11       11       75     0.0817     0.0033     0.0052        5        7       63    84.00    84.21   1.0000     1.27     0.0026        4        6       31    41.33    42.11   0.9430     2.63     0.0012        4        5       28    37.33    36.84   0.9430     2.92     0.0011
ch.1_100                  677       18       15      100     3.2323     0.0484     0.0060       16        8      100    81.00    84.00   0.9141     1.65     0.0294       14        7      100    59.00    60.00   0.8453     2.71     0.0179       12        6      100    54.00    60.00   0.8391     5.33     0.0091
ch.1_101                  657       15       23      100     1.1927     0.0484     0.0056        9       18      100    64.00    72.00   0.9932     1.99     0.0243        8       16      100    29.00    44.00   0.9875     5.83     0.0083        7       14      100    29.00    44.00   0.9875     8.47     0.0057
ch.1_102                  635       12       18      100     0.4125     0.0449     0.0054        9       11      100    79.00    88.00   0.8894     2.59     0.0174        8       10      100    47.00    60.00   0.4276     5.19     0.0086        7        9      100    27.00    40.00   0.0543    10.92     0.0041
ch.1_103                  619       14       16      100     2.8222     0.0442     0.0054       10       14      100    70.00    64.00   0.8569     2.23     0.0198        9       12      100    68.00    64.00   0.8569     2.82     0.0157        8       11      100    57.00    64.00   0.8569     4.73     0.0093
ch.1_104                  563       18       18      100     2.2553     0.0391     0.0050       13       13      100    61.00    60.00   0.5501     2.07     0.0189       12       12      100    41.00    28.00   0.2333     2.92     0.0134       10       10      100    34.00    24.00   0.2284     4.18     0.0093
ch.1_105                  669       16       22      100     2.2305     0.0518     0.0061        8       17      100   100.00   100.00   1.0000     1.72     0.0302        7       15      100    67.00    52.00   1.4007     2.21     0.0234        6       13      100    49.00    40.00   1.2605     4.70     0.0110
ch.1_106                  596       19       17      100     1.9220     0.0443     0.0053       13       11      100    73.00    92.00   0.9677     2.51     0.0177       12       10      100    70.00    92.00   0.9666     2.99     0.0148       10        9      100    62.00    84.00   0.9600     4.43     0.0100
