gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
1.429,0.2437,0.3412,0.1332,0.9985,0.5575,0.0017,0.0024,0.9958
3.36,0.3275,0.4898,0.9883,0.0267,0.3320,0.9920,0.3576,0.9944
1.133,0.5456,0.9976,0.4591,0.5492,0.9995,0.9999,0.4266,0.9961
1.72,0.0050,0.9941,0.9996,0.9986,0.9948,0.0023,0.5624,0.9960
1.341,0.1032,0.4247,0.9964,0.9983,0.9080,0.0040,0.0066,0.9984
1.473,0.5126,0.0050,0.9988,0.9909,0.0035,0.0006,0.0031,0.9990
2.210,0.1731,0.5915,0.9976,0.9951,0.9994,0.0127,0.0214,0.9996
1.298,0.1299,0.0894,0.0204,0.9906,0.3115,0.0059,0.0011,0.9999
2.113,0.3840,0.6900,0.0053,0.2194,0.9954,0.9979,0.8908,0.9913
1.166,0.1367,0.7633,0.9926,0.7355,0.1729,0.0001,0.0352,0.9990
2.52,0.0922,0.6081,0.9894,0.9322,0.3707,0.0012,0.0081,0.9950
1.316,0.5560,0.2649,0.9983,0.5262,0.5573,0.0005,0.0334,0.9990
1.273,0.3358,0.1804,0.9985,0.9964,0.4627,0.4884,0.0003,0.9965
1.134,0.5402,0.7630,0.8433,0.9949,0.8171,0.3382,0.0001,0.9887
3.32,0.0838,0.4350,0.9880,0.9879,0.6093,0.0004,0.0432,0.9990
1.373,0.2354,0.9943,0.9940,0.8873,0.7634,0.0066,0.0042,0.9961
2.243,0.2981,0.9974,0.9954,1.0000,0.7077,0.9930,0.5559,0.9950
2.245,0.5040,0.2407,0.8775,0.9974,0.9949,0.0071,0.5512,0.9996
2.228,0.3602,0.6044,0.9993,0.9774,0.9923,0.9938,0.0668,0.9974
4.2,0.0965,0.6376,0.7551,0.9992,0.9922,0.0053,0.1463,0.9997
1.402,0.0951,0.9989,0.9994,0.0046,0.7183,0.0013,0.0004,0.9940
1.60,0.0971,0.9868,0.9964,0.3251,0.9933,0.0006,0.9510,0.9984
1.58,0.0216,0.9984,0.9939,0.9960,0.9991,0.9987,0.7981,0.9923
1.55,0.0721,0.9990,0.9933,0.9984,0.0002,0.9755,0.9996,0.9892
1.314,0.3869,0.4988,0.9995,0.9983,0.4347,0.0034,0.2693,0.9932
1.19,0.0022,0.9973,0.9995,0.0030,0.9962,0.9911,0.9935,0.9994
1.399,0.1932,0.5972,0.7721,0.9998,0.9866,0.0016,0.0031,0.9984
1.205,0.2854,0.8317,0.9949,0.0000,0.9951,0.9938,0.0108,0.9982
3.11,0.2063,0.9901,0.0022,0.9993,0.5820,0.4229,0.9941,0.9994
1.180,0.2954,0.6140,0.5079,0.9998,0.3106,0.0121,0.4582,0.9933
1.221,0.0569,0.7584,0.8200,0.8335,0.9907,0.3991,0.0000,1.0000
2.37,0.1670,0.1340,0.0051,0.9995,0.7921,0.0030,0.0001,0.9978
2.54,0.4345,0.9961,0.9557,0.0384,0.3048,0.0032,0.6577,0.9962
1.93,0.0083,0.9925,0.8668,0.9989,0.7696,0.6845,0.0016,0.9965
1.418,0.3424,0.4548,0.9841,0.1403,0.9551,0.9965,0.0075,0.9974
1.174,0.0125,0.8399,0.9934,0.9888,0.7656,0.9764,0.7805,0.9981
2.103,0.3552,0.9973,0.9992,0.9974,0.9956,0.9884,0.9958,0.9982
1.517,0.9942,0.2518,0.3328,0.2547,0.0043,0.9934,0.0062,0.9939
2.262,0.3976,0.9981,0.0036,0.0010,0.6133,0.0010,0.0004,0.9972
2.10,0.0978,0.9839,0.9955,0.9993,0.9996,0.0032,0.7158,0.9939
1.386,0.0517,0.7576,0.8212,0.4368,0.9991,0.0099,0.0020,1.0000
1.56,0.0128,0.9983,0.9993,0.9909,0.9936,0.0002,0.3268,0.9950
1.478,0.0556,0.9999,0.4255,0.9972,0.8989,0.2380,0.0010,0.9998
1.63,0.1496,0.9998,0.9915,0.9995,0.2123,0.0089,0.2205,0.9952
1.335,0.5451,0.9930,0.9119,0.6377,0.4596,0.9984,0.3265,0.6335
2.147,0.2315,0.5309,0.5490,0.9921,0.5802,0.0068,0.0039,0.9996
1.32,0.2009,0.9952,0.9499,0.9963,0.6404,0.0073,0.0028,0.9991
1.198,0.5319,0.4998,0.9909,0.9956,0.9976,0.0065,0.6315,0.9998
1.200,0.0619,0.9976,0.9934,0.9997,0.4398,0.0040,0.0063,0.9994
2.79,0.2789,0.8942,0.9976,0.9994,0.1210,0.6962,0.0339,0.9996
1.436,0.0552,0.9966,0.9985,0.9925,0.9028,0.9937,0.9994,0.9869
1.495,0.1118,0.3324,0.9876,0.9974,0.9936,0.0080,0.5356,0.9990
2.198,0.0381,0.9468,0.9993,0.0043,0.9999,0.0013,0.0016,0.9989
1.520,0.2411,0.0049,0.0075,0.6623,0.3739,0.0040,0.0009,0.9948
2.149,0.1200,0.9201,0.9552,0.0290,0.9972,0.9999,0.0019,0.9953
1.193,0.1459,0.3067,0.9971,0.4273,0.9973,0.0063,0.0116,0.9990
2.45,0.1972,0.9847,0.8237,0.9961,0.9940,0.0521,0.0020,0.9970
1.489,0.9384,0.4059,0.6823,0.0050,0.9887,0.0020,0.0028,0.0057
1.36,0.0343,0.9989,0.9998,0.9966,0.9944,0.9996,0.1149,0.9928
1.50,0.0067,0.6168,0.9975,0.9989,0.9995,0.4401,0.9904,0.9934
1.277,0.3700,0.8555,0.9988,0.9217,0.8306,0.8788,0.0029,0.9915
2.15,0.1048,0.9991,0.9985,0.9987,0.8643,0.9943,0.9990,0.9376
1.216,0.6939,0.4356,0.0111,0.9955,0.8221,0.9864,0.9989,0.9976
1.408,0.1806,0.6851,0.4887,0.9980,0.4328,0.0001,0.0001,0.9964
1.511,0.1358,0.1090,0.0059,0.9982,0.3408,0.0024,0.0016,0.9992
1.154,0.3113,0.7998,0.6385,0.6109,0.9841,0.0032,0.0015,0.9981
2.28,0.0749,0.9998,0.2481,0.9992,0.5562,0.9875,0.9990,0.9981
3.3,0.1112,0.9914,0.0955,0.9987,0.9961,0.9969,0.9969,0.9894
1.163,0.0202,0.8088,0.7574,0.9990,0.9981,0.0011,0.0116,0.9997
1.215,0.3147,0.5765,0.6799,0.9959,0.8334,0.0013,0.0003,0.9942
1.445,0.0414,0.0044,0.9975,0.0050,0.9997,0.0042,0.0012,0.9906
2.62,0.0802,0.9958,0.9872,0.8760,0.9868,0.0055,0.0024,0.9978
1.501,0.6902,0.9951,0.9994,0.0002,0.2137,0.9946,0.0016,0.9987
3.67,0.0843,0.9848,0.9872,0.9987,0.8483,0.9942,0.0027,0.9891
1.365,0.1893,0.4983,0.9999,0.9967,0.9994,0.0010,0.2752,0.9941
1.379,0.0680,0.5281,0.9805,0.9980,0.8563,0.0004,0.0030,0.9976
2.214,0.3720,0.9990,0.9981,0.4612,0.9950,0.0113,0.9009,0.9837
2.39,0.2852,0.4702,0.7369,0.5508,0.9980,0.9983,0.8938,0.9983
2.86,0.3808,0.7432,0.9958,0.1143,0.6303,0.9997,0.9977,0.9953
1.441,0.4790,0.9862,0.9979,0.7439,0.0068,0.2671,0.0050,0.9970
1.516,0.8001,0.0057,0.9917,0.0045,0.9932,0.9976,0.0033,0.9907
1.462,0.2025,0.0057,0.2155,0.4744,0.5200,0.9943,0.0008,0.9966
1.327,0.3003,0.6177,0.6885,0.9880,0.3783,0.0031,0.0089,0.9999
1.289,0.3441,0.7305,0.2844,0.9198,0.7117,0.0013,0.0007,0.9967
1.491,0.1259,0.3108,0.5182,0.9884,0.9984,0.0003,0.6252,0.9974
1.76,0.0074,0.9927,0.9930,0.9930,0.0038,0.0011,0.0008,0.9999
2.91,0.6178,0.9845,0.9984,0.3644,0.0600,0.0480,0.5887,0.9965
2.220,0.1814,0.6916,0.9974,0.0009,0.9178,0.0042,0.3095,0.9978
2.138,0.2823,0.4807,0.2590,0.0537,0.9951,0.0078,0.0002,0.9998
2.188,0.1055,0.9985,0.9962,0.0008,0.5985,0.0036,0.9922,0.9981
1.178,0.0253,0.9987,0.9889,0.9983,0.9993,0.9993,0.0029,0.9980
1.339,0.7170,0.9893,0.8650,0.0042,0.9979,0.9962,0.6480,0.9993
2.166,0.2821,0.5630,0.9963,0.9984,0.6779,0.9999,0.5462,0.9991
1.191,0.7312,0.3508,0.6741,0.5085,0.5646,0.0022,0.0024,0.9996
1.183,0.8310,0.2938,0.7430,0.9803,0.8187,0.0203,0.0095,0.9958
2.74,0.1824,0.5921,0.9991,0.4924,0.7027,0.9979,0.3186,0.9970
1.18,0.0318,0.9958,0.9907,0.9989,0.0039,0.9754,0.9978,0.9660
2.144,0.1056,0.9994,0.9899,0.9982,0.9901,0.0056,0.0103,0.9983
2.59,0.0385,0.4597,0.8447,0.9939,0.9904,0.6246,0.0009,0.9986
1.492,0.0735,0.5494,0.2221,0.9862,0.5684,0.0028,0.0008,0.9970
2.154,0.2719,0.7215,0.9940,0.9952,0.6201,0.0003,0.3655,0.9905
1.485,0.0863,0.9961,0.2458,0.9943,0.0160,0.0024,0.0016,0.9928
1.171,0.1325,0.9882,0.3653,0.9941,1.0000,0.0141,0.2520,0.9896
2.225,0.1086,0.3856,0.9883,0.9980,0.5361,0.0008,0.0140,0.9977
1.450,0.9985,0.5511,0.1639,0.4660,0.7747,0.5066,0.1629,0.4836
2.202,0.0903,0.8363,0.6746,0.9897,0.9933,0.0110,0.0037,0.9981
3.21,0.1896,0.3774,0.8850,0.9934,0.4672,0.4193,0.0126,0.9967
1.61,0.0217,0.3614,0.9972,0.9925,0.9992,0.0001,0.9759,0.9969
1.400,0.1537,0.3763,0.0436,0.9956,0.9171,0.0046,0.5051,0.9953
1.325,0.6502,0.7200,0.9998,0.4403,0.9954,0.9974,0.0067,0.9882
4.1,0.0730,0.9968,0.9859,0.9993,0.8171,0.9967,0.9971,0.6057
2.4,0.0624,0.8431,0.9989,0.9929,0.5330,0.4947,0.8409,0.9996
1.360,0.3246,0.7534,0.9999,0.9974,0.0032,0.0082,0.0670,0.9966
1.448,0.5479,0.1913,0.0081,0.0023,0.9990,0.0009,0.0039,0.9950
2.26,0.0729,0.9972,0.9983,0.1659,0.9998,0.7332,0.9973,0.9988
1.218,0.1275,0.9927,0.9960,0.9915,0.9998,0.0017,0.0039,0.9941
1.413,0.3377,0.6942,0.8400,0.9887,0.4752,0.0002,0.0075,0.9970
1.118,0.0286,0.9979,0.9979,0.3724,0.9990,0.9865,0.0071,0.9875
2.145,0.4988,0.4416,0.8948,0.9892,0.5344,0.0098,0.0101,0.9950
2.277,0.3138,0.2715,0.9357,0.8988,0.6519,0.0049,0.0045,0.9989
2.280,0.0583,0.7136,0.9995,0.4449,0.9967,0.9991,0.2323,0.9936
3.63,0.3292,0.1597,0.8453,0.9871,0.7231,0.0028,0.0034,0.9917
2.276,0.0337,0.6756,0.8704,0.9979,0.9995,0.0082,0.0449,0.9993
2.254,0.5067,0.1755,0.0097,0.9851,0.7593,0.0023,0.0007,0.9998
1.460,0.3460,0.9981,0.8786,0.9996,0.8576,0.0025,0.9985,0.9991
1.104,0.0173,0.6821,0.9976,0.7980,0.9984,0.0094,0.0097,1.0000
1.47,0.0151,0.9976,0.9992,0.9997,0.8183,0.9898,0.9969,0.9917
1.354,0.5221,0.9998,0.9960,0.0126,0.9987,0.2838,0.0042,0.9997
1.357,0.0200,0.9955,0.9976,0.8659,0.9931,0.7233,0.0052,0.9944
2.132,0.5385,0.7104,0.0002,0.9992,0.0020,0.4337,0.7843,0.9982
2.58,0.2001,0.9995,0.9967,0.0010,0.9899,0.0006,0.0002,0.9994
1.37,0.1348,0.9765,0.9832,0.9928,0.0056,0.0061,0.9985,0.9950
1.262,0.1530,0.5358,0.4797,0.9927,0.5179,0.0047,0.0020,0.9955
1.212,0.0085,0.9990,0.9673,0.5377,0.9926,0.0080,0.2836,0.9980
1.149,0.0421,0.9945,0.3840,0.9993,0.2975,0.0053,0.0063,0.9985
1.224,0.6013,0.4776,0.9891,0.0002,0.9962,0.9942,0.0005,0.9998
2.102,0.4683,0.9989,0.9122,0.9976,0.5477,0.0703,0.0055,0.9982
1.220,0.7743,0.8556,0.0696,0.9781,0.8788,0.0085,0.8699,0.9992
3.10,0.0905,0.4300,0.9936,0.9907,0.9527,0.9991,0.9933,0.9699
1.319,0.1678,0.3441,0.7849,0.9998,0.9189,0.0031,0.0051,0.9966
1.169,0.1129,0.5132,0.5244,0.9955,0.6172,0.9998,0.0019,0.9999
