gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
1.429,0.2846,0.4055,0.1144,0.9994,0.8945,0.0031,0.0121,0.9932
3.36,0.3181,0.4746,0.9997,0.0265,0.3456,0.9897,0.4085,0.9937
1.133,0.5384,0.9941,0.4589,0.5046,0.9960,0.9944,0.4638,0.9984
1.72,0.0037,0.9973,0.9972,0.9986,0.9936,0.0011,0.7387,0.9942
1.341,0.1033,0.4160,0.9976,0.9978,0.9000,0.0018,0.0164,0.9983
1.473,0.5243,0.0087,0.9993,0.9946,0.0091,0.0074,0.0048,0.9945
2.210,0.1665,0.5893,0.9960,0.9897,0.9970,0.0019,0.0043,0.9941
1.298,0.1906,0.1548,0.3307,0.9934,0.4601,0.0034,0.0027,0.9931
2.113,0.3820,0.6620,0.0138,0.2328,0.9939,0.9955,0.9252,0.9999
1.166,0.1232,0.7442,0.9949,0.7030,0.1620,0.0081,0.0698,0.9984
2.52,0.0786,0.5902,0.9961,0.9104,0.4018,0.0028,0.0010,0.9945
1.316,0.5408,0.2806,0.9947,0.4945,0.5623,0.0039,0.0649,0.9992
1.273,0.3166,0.1835,0.9961,0.9953,0.4827,0.5211,0.0024,0.9917
1.134,0.5129,0.7456,0.8869,0.9827,0.8640,0.2301,0.0010,0.9986
3.32,0.0731,0.4217,0.9994,0.9950,0.6650,0.0034,0.0054,0.9965
1.373,0.1820,0.9964,0.9856,0.9011,0.7775,0.0085,0.0028,0.9992
2.243,0.2951,0.9933,0.9958,0.9915,0.7155,0.9937,0.5925,0.9996
2.245,0.4998,0.2497,0.8654,0.9911,0.9980,0.0027,0.5792,0.9966
2.228,0.3492,0.3119,0.9948,0.9278,0.3409,0.0219,0.0630,0.9986
4.2,0.0901,0.6177,0.8267,0.9982,0.9993,0.0047,0.0858,0.9990
1.402,0.0591,0.9993,0.9977,0.0262,0.8270,0.0126,0.0003,0.9986
1.60,0.0799,0.9872,0.9981,0.3232,0.9992,0.0027,0.9977,0.9639
1.58,0.0164,0.9981,0.9986,0.9981,0.9972,0.9932,0.8989,0.9996
1.55,0.0663,0.9998,0.9910,0.9992,0.0002,0.9980,0.9990,0.9841
1.314,0.3472,0.5664,0.9973,0.9980,0.4134,0.0014,0.2649,0.9955
1.19,0.0021,0.9911,0.9960,0.0059,0.9994,0.9945,0.9902,0.9999
1.399,0.1750,0.5817,0.7711,0.9993,0.9973,0.0091,0.0001,0.9941
1.205,0.2677,0.8383,0.9982,0.0026,0.9989,0.9740,0.0136,0.9970
3.11,0.2092,0.9936,0.0119,0.9988,0.5631,0.3640,0.9921,0.9989
1.180,0.2885,0.6085,0.4900,0.9958,0.3295,0.0084,0.4625,0.9958
1.221,0.0372,0.8618,0.9403,0.9319,0.9970,0.6733,0.0021,0.9997
2.37,0.1677,0.1514,0.0020,0.9901,0.7792,0.0019,0.0004,0.9972
2.54,0.4175,0.9914,0.9458,0.0013,0.3112,0.0010,0.7550,0.9990
1.93,0.0066,0.9920,0.8603,0.9982,0.7431,0.6740,0.0054,0.9983
1.418,0.2908,0.4901,0.9996,0.0368,0.9160,0.9974,0.0058,0.9954
1.174,0.0104,0.8725,0.9996,0.9986,0.7073,0.8995,0.8028,0.9905
2.103,0.3512,0.9958,0.9938,0.9868,0.9991,0.9868,0.9997,0.9927
1.517,0.9946,0.2480,0.3304,0.2147,0.0046,0.9976,0.0030,0.9920
2.262,0.4168,0.9970,0.2214,0.0034,0.7254,0.0033,0.0024,0.9962
2.10,0.0964,0.9996,0.9972,0.9971,0.9892,0.0118,0.7573,0.9992
1.386,0.0418,0.7364,0.8609,0.4296,0.9990,0.0015,0.0054,0.9994
1.56,0.0092,0.9970,0.9990,0.9991,0.9981,0.0019,0.1233,0.9940
1.478,0.0467,0.9925,0.4377,0.9971,0.9340,0.3386,0.0040,0.9926
1.63,0.1366,0.9955,0.9964,0.9952,0.1967,0.0032,0.1726,0.9946
1.335,0.5472,0.9925,0.7693,0.7464,0.5345,0.9945,0.3293,0.5743
2.147,0.2242,0.5337,0.6173,1.0000,0.6171,0.0003,0.0024,0.9915
1.32,0.2043,0.9953,0.9153,0.9995,0.6476,0.0079,0.0089,0.9998
1.198,0.5190,0.5255,0.9858,0.9539,0.9999,0.0099,0.6654,0.9967
1.200,0.0491,0.9931,0.9895,0.9981,0.4501,0.0157,0.0048,0.9911
2.79,0.2645,0.8793,0.9983,0.9957,0.1131,0.6537,0.0090,0.9970
1.436,0.0551,0.9962,0.9995,0.9937,0.9616,0.9865,0.9987,0.9938
1.495,0.1018,0.3341,0.9851,0.9956,0.9931,0.0205,0.5576,0.9966
2.198,0.0365,0.9396,0.9900,0.0117,0.9990,0.0074,0.0004,0.9990
1.520,0.5212,0.8002,0.0046,0.0047,0.9945,0.8547,0.0079,0.9986
2.149,0.1004,0.8763,0.9691,0.0041,0.9954,0.9992,0.0022,0.9982
1.193,0.1335,0.3231,0.9988,0.4447,0.9984,0.0022,0.0097,0.9863
2.45,0.1772,0.9983,0.8660,0.9927,0.9973,0.0141,0.0038,0.9975
1.489,0.9361,0.6666,0.5321,0.0031,0.9887,0.7601,0.0052,0.9996
1.36,0.0284,0.9979,0.9978,0.9884,0.9955,0.9867,0.1249,0.9978
1.50,0.0055,0.6334,0.9967,0.9995,0.9968,0.4246,0.9989,0.9993
1.277,0.3380,0.9900,0.9955,0.9902,0.9076,0.8510,0.0044,0.9981
