gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
1.429,0.2426,0.3511,0.1178,0.9963,0.5710,0.0023,0.0020,0.9991
3.36,0.3270,0.4817,0.9996,0.0040,0.3281,0.9957,0.3800,0.9974
1.133,0.5496,0.9597,0.4674,0.5397,0.9981,0.9948,0.3814,0.9998
1.72,0.0051,0.9970,0.9953,0.9926,0.9997,0.0092,0.5805,0.9992
1.341,0.1043,0.4138,0.9993,0.9886,0.8936,0.0011,0.0041,0.9895
1.473,0.5129,0.0030,0.9625,0.9999,0.0107,0.0001,0.0072,0.9971
2.210,0.1726,0.5612,0.9987,0.9957,0.9939,0.0031,0.0067,0.9999
1.298,0.1305,0.0947,0.0083,0.9987,0.3302,0.0037,0.0034,0.9957
2.113,0.3838,0.7033,0.0005,0.2084,0.9986,0.9997,0.8954,0.9941
1.166,0.1349,0.7538,0.9992,0.7480,0.1592,0.0045,0.0173,0.9976
2.52,0.0917,0.6147,0.9910,0.9392,0.3691,0.0163,0.0020,0.9979
1.316,0.5578,0.2682,0.9954,0.5045,0.5491,0.0035,0.0211,0.9969
1.273,0.3384,0.1775,0.9808,0.9998,0.4714,0.4388,0.0002,0.9996
1.134,0.5375,0.7545,0.8037,0.9959,0.8830,0.1620,0.0063,0.9992
3.32,0.0829,0.4082,0.9990,0.9758,0.6565,0.0006,0.0202,0.9996
1.373,0.2450,0.9908,0.9749,0.7142,0.6766,0.0015,0.0041,0.9987
2.243,0.2985,1.0000,0.9924,0.9957,0.6862,0.9911,0.5585,0.9940
2.245,0.5036,0.2364,0.8635,0.9998,0.9984,0.0028,0.5688,0.9988
2.228,0.3599,0.6019,1.0000,0.9847,0.9995,0.9905,0.0621,0.9948
4.2,0.0985,0.5888,0.8446,0.9929,0.9988,0.0121,0.1176,0.9783
1.402,0.0948,0.9951,0.9998,0.0019,0.7114,0.0186,0.0007,0.9986
1.60,0.0963,0.9920,0.9989,0.3479,0.9922,0.0014,0.9454,0.9936
1.58,0.0221,0.9962,0.9885,0.9880,0.9912,0.9993,0.7762,0.9993
1.55,0.0719,0.9963,0.9986,0.9950,0.0015,0.9710,0.9976,0.9966
1.314,0.3867,0.4963,0.9989,0.9921,0.4327,0.0060,0.2847,0.9989
1.19,0.0023,0.9975,0.9992,0.0014,0.9944,0.9972,0.9963,0.9988
1.399,0.1978,0.5870,0.7688,0.9905,0.9903,0.0047,0.0018,0.9885
1.205,0.2888,0.8219,0.9931,0.0023,0.9988,0.9976,0.0048,0.9945
3.11,0.2063,0.9906,0.0009,0.9986,0.5824,0.4144,0.9985,0.9997
1.180,0.2951,0.5916,0.4639,0.9969,0.3393,0.0010,0.4624,0.9920
1.221,0.0576,0.8110,0.8264,0.8905,0.9990,0.5732,0.0053,0.9938
2.37,0.1697,0.1471,0.0037,0.9904,0.7872,0.0012,0.0103,0.9991
2.54,0.4348,0.9897,0.9678,0.0462,0.3016,0.0049,0.6546,0.9996
1.93,0.0087,0.9991,0.8672,0.9969,0.7606,0.5034,0.0111,0.9940
1.418,0.3339,0.4601,0.9979,0.1557,0.9789,0.9980,0.0013,0.9996
1.174,0.0128,0.8567,0.9997,0.9941,0.6983,0.7982,0.7556,0.9891
2.103,0.3552,0.9980,0.9991,0.9986,0.9916,0.9870,0.9883,1.0000
1.517,0.9942,0.2546,0.3189,0.2391,0.0016,0.9952,0.0042,0.9957
