gene_id,cds_gc_avg,int_gc_avg
ce.1.110,47.8,26.09
ce.2.246,43.89,21.82
ce.1.228,45.85,34.85
ce.2.204,51.72,32.89
ce.2.145,42.16,32.08
ce.1.93,42.25,17.14
ce.3.53,47.32,23.7
ce.1.113,43.77,14.29
ce.1.511,46.68,25.0
ce.1.198,46.09,19.23
ce.2.293,35.63,26.24
ce.2.177,43.94,35.75
ce.1.456,52.36,23.64
ce.1.265,47.03,23.4
ce.1.138,43.78,28.89
ce.1.532,50.91,28.78
ce.1.82,47.68,20.73
ce.1.496,44.91,39.36
ce.2.140,50.25,35.9
ce.1.11,39.81,30.51
ce.1.170,43.25,28.91
ce.2.4,41.54,19.55
ce.2.151,49.74,26.37
ce.1.247,49.4,21.32
ce.2.113,40.34,21.28
ce.2.296,40.2,30.05
ce.1.480,44.8,27.91
ce.1.322,36.74,24.14
ce.1.14,39.3,30.23
ce.2.65,51.48,30.07
ce.3.61,35.8,29.19
ce.1.208,45.84,19.87
ce.2.97,36.94,24.47
ce.2.45,39.79,28.05
ce.1.420,43.35,29.17
ce.2.142,51.11,28.2
ce.3.22,49.08,25.45
ce.2.19,43.08,17.35
ce.2.72,44.36,20.81
ce.2.75,41.99,28.16
ce.2.101,46.65,16.21
ce.1.396,51.22,26.0
ce.1.325,49.53,28.33
ce.1.525,39.17,20.83
ce.1.117,39.78,28.26
ce.2.222,48.8,33.02
ce.2.194,38.42,29.44
ce.1.143,48.62,22.95
ce.2.207,42.13,22.95
ce.1.309,54.53,28.3
ce.1.46,48.8,31.65
ce.1.200,51.56,22.64
ce.1.114,36.73,31.37
ce.1.387,46.2,36.1
ce.1.232,43.7,19.23
ce.1.175,52.16,23.53
ce.2.214,40.01,34.11
ce.2.254,49.95,36.46
ce.2.213,53.79,19.52
ce.1.153,49.19,28.42
ce.2.149,42.69,28.34
ce.1.95,43.48,26.42
ce.1.541,49.15,47.22
ce.1.320,47.53,26.09
ce.2.76,53.66,25.78
ce.1.534,47.62,35.52
ce.1.69,43.47,32.73
ce.2.159,41.84,36.04
ce.1.342,49.41,29.67
ce.2.7,43.32,26.4
ce.2.253,42.03,19.3
ce.3.47,47.19,27.53
ce.1.542,42.7,36.73
ce.1.164,50.02,15.52
ce.2.10,42.23,27.84
ce.3.30,42.3,31.35
ce.1.10,32.41,23.68
ce.1.415,36.85,25.17
ce.2.36,46.9,25.59
ce.2.283,46.34,19.43
ce.1.254,39.73,32.65
ce.1.437,36.99,25.0
ce.1.495,46.19,29.79
ce.2.166,41.67,21.38
ce.1.355,39.13,25.0
ce.1.234,48.79,25.53
ce.2.193,44.53,21.69
ce.1.374,42.09,29.34
ce.1.314,39.77,23.21
ce.1.368,42.63,33.33
ce.2.62,44.05,24.7
ce.2.59,39.15,25.06
ce.2.169,35.49,29.63
ce.2.44,41.83,24.81
ce.2.2,47.26,28.03
ce.2.226,43.43,25.23
ce.1.166,51.26,25.0
ce.1.335,49.55,19.05
ce.2.158,56.0,33.59
ce.1.259,46.23,20.71
ce.1.347,47.1,29.72
ce.2.109,44.19,31.5
ce.2.11,45.21,18.3
ce.1.380,39.64,23.91
ce.2.40,50.91,30.41
ce.1.106,38.17,30.43
ce.3.68,41.21,23.89
ce.2.186,37.7,14.7
ce.1.193,48.2,21.74
ce.2.243,36.64,37.68
ce.1.333,44.7,30.0
ce.1.44,33.33,38.64
ce.3.56,44.23,27.15
ce.1.149,50.31,32.56
ce.1.371,31.06,32.29
ce.1.29,38.8,30.91
ce.1.38,40.14,27.45
ce.1.466,54.59,23.4
ce.1.108,60.58,26.79
ce.2.56,57.29,25.57
ce.1.424,38.88,22.0
ce.1.459,44.75,26.32
ce.2.197,46.23,32.95
ce.1.233,32.99,22.73
ce.1.510,37.7,19.23
ce.2.173,51.87,30.89
ce.2.116,34.88,21.94
ce.3.35,37.46,28.91
ce.2.249,38.58,25.96
ce.1.245,39.77,25.53
ce.2.180,32.72,26.29
ce.1.430,54.36,32.38
ce.1.502,40.97,28.0
ce.1.402,54.01,32.17
ce.1.358,44.33,21.62
ce.1.225,38.15,17.07
ce.1.298,35.69,24.0
ce.1.121,49.23,18.75
ce.1.251,42.3,25.69
ce.1.450,48.59,36.52
ce.1.163,42.55,34.0
ce.1.346,47.55,34.62
ce.2.5,44.21,17.84
ce.3.1,34.52,21.66
ce.3.63,41.57,25.6
ce.1.168,36.83,14.29
ce.3.18,28.3,24.27
ce.3.2,35.49,26.12
ce.2.183,42.64,29.39
ce.2.112,42.02,18.0
ce.2.176,55.34,35.4
ce.1.123,56.88,28.57
ce.1.363,42.86,24.66
ce.1.212,50.75,30.28
ce.1.378,45.86,31.47
ce.1.290,51.11,34.86
ce.1.61,45.63,30.36
ce.1.276,44.59,21.43
ce.1.92,46.11,34.83
ce.2.61,39.23,30.81
ce.3.46,47.6,38.0
ce.2.198,55.62,26.12
ce.3.43,49.44,27.48
ce.2.28,48.37,29.46
ce.2.138,44.8,28.84
ce.2.291,49.74,24.39
ce.3.57,39.63,29.53
ce.1.471,43.49,28.95
ce.1.13,44.22,22.22
ce.1.351,42.81,29.68
ce.2.42,57.02,23.81
ce.1.209,45.83,37.5
ce.1.289,30.0,24.56
ce.1.7,43.66,20.83
ce.2.50,51.83,32.47
ce.1.494,53.94,32.0
ce.1.528,53.62,21.74
ce.2.24,35.98,26.71
ce.3.49,43.27,27.05
ce.1.27,49.52,27.66
ce.2.33,40.62,24.0
ce.1.109,41.49,28.89
ce.1.295,53.37,25.53
ce.2.170,53.75,30.32
ce.1.18,40.67,41.3
ce.2.268,43.18,27.88
ce.1.173,45.25,31.91
ce.3.65,48.58,23.01
ce.1.244,51.29,29.82
ce.1.103,44.05,56.86
ce.1.326,42.37,25.51
ce.1.62,37.3,19.77
ce.1.481,42.02,32.17
ce.1.221,46.74,34.04
ce.1.433,44.37,29.94
ce.2.200,39.02,21.69
ce.1.137,46.47,17.74
ce.1.91,46.1,26.0
ce.1.382,45.19,20.37
ce.4.5,43.96,28.18
ce.3.29,35.33,22.64
ce.1.187,59.64,32.06
ce.2.289,35.74,25.16
ce.3.5,46.23,25.03
ce.2.135,36.36,23.58
ce.4.1,41.59,29.69
ce.1.125,37.88,25.49
ce.2.277,47.48,26.42
ce.2.227,43.51,25.2
ce.2.223,46.38,20.22
ce.1.391,44.2,21.98
ce.1.302,46.1,21.05
ce.2.295,46.41,20.91
ce.1.506,52.06,29.37
ce.1.162,47.73,28.85
ce.2.262,48.16,45.01
ce.1.353,41.23,24.14
ce.1.505,40.42,30.54
ce.3.67,40.77,26.99
ce.1.392,53.81,25.81
ce.2.41,37.54,32.24
ce.1.306,32.01,27.08
ce.2.121,35.56,26.18
ce.1.445,36.78,28.02
ce.1.286,51.28,30.0
ce.2.266,49.4,32.0
ce.3.51,41.8,26.22
ce.1.519,50.49,21.57
ce.1.87,48.55,35.56
ce.1.240,43.81,19.61
ce.3.36,40.43,37.82
ce.2.92,40.61,25.88
ce.2.115,45.54,25.26
ce.1.67,46.57,24.04
ce.1.64,33.69,29.69
ce.1.287,38.64,34.0
ce.2.148,50.56,24.63
ce.1.134,36.09,22.73
ce.1.177,43.69,26.47
ce.1.6,36.34,35.42
ce.3.9,38.53,23.12
ce.1.493,44.03,22.84
ce.1.135,46.76,31.48
ce.1.516,30.7,22.53
ce.3.16,42.36,21.54
ce.1.423,45.99,27.35
ce.1.338,44.12,25.98
ce.2.267,37.72,22.73
ce.1.421,49.87,30.56
ce.2.233,46.34,29.25
ce.1.305,43.23,33.2
ce.1.401,54.38,37.25
ce.1.196,39.37,32.35
