gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
2.158,0.9933,0.4212,0.9386,0.1918,0.9971,0.9190,0.0079,0.9944
1.191,0.9781,0.5387,0.5189,0.0859,0.6650,0.1989,0.1129,0.7077
3.38,0.6173,0.9012,0.9997,0.0030,0.4145,0.1080,0.9992,0.9945
1.69,0.4510,0.4269,0.9686,0.0024,0.9999,0.5014,0.0160,0.9981
1.268,0.6758,0.9950,0.9935,0.0038,0.0040,0.8824,0.1718,0.9989
1.459,1.0000,0.3977,0.7293,0.4597,0.9220,0.7044,0.3647,0.4971
1.355,0.6720,0.3120,0.9968,0.1050,0.9660,0.4628,0.0031,0.9957
2.113,0.5014,0.9997,0.9990,0.2767,0.9793,0.3493,1.0000,0.9986
1.412,0.7606,0.9965,0.9964,0.0004,0.9986,0.9798,0.9995,0.9858
1.237,0.6742,0.9979,0.9932,0.4300,0.9970,0.5995,0.0105,0.9930
1.22,0.5622,0.3734,0.4853,0.9945,0.9907,0.1840,0.9972,0.9871
1.386,1.0000,0.3151,0.4552,0.4881,0.9491,0.0443,0.7871,0.0265
1.139,0.0010,0.8399,0.9929,0.0012,0.9956,0.7465,0.7771,0.9911
1.105,0.5161,0.9974,0.9976,0.0083,0.9972,0.0890,0.9944,0.9954
2.15,0.0725,0.9997,0.9997,0.0025,0.1452,0.0564,0.9929,0.9913
1.166,0.5718,0.4418,0.9977,0.0085,0.7314,0.0119,0.0080,0.9990
1.58,0.1309,0.9988,0.9458,0.0037,0.9995,0.2792,0.1639,0.9979
1.324,1.0000,0.6901,0.1543,0.4377,0.3874,0.2513,0.4278,0.8192
2.276,0.5005,0.6730,0.9978,0.0053,0.9926,0.8961,0.4413,0.9960
1.240,0.6075,0.9880,0.0174,0.0025,0.6191,0.9531,0.0038,0.9965
1.495,0.8142,0.1736,0.9918,0.0019,0.9961,0.1453,0.9950,0.9973
2.229,0.7751,0.3691,0.9950,0.0100,0.0005,0.7238,0.0052,0.9863
1.462,0.9999,0.4494,0.9692,0.4312,0.9064,0.8840,0.1543,0.0652
2.127,0.7538,0.0071,0.9863,0.0039,0.9279,0.0598,0.1810,0.9997
3.66,0.8000,0.9919,0.7795,0.0007,0.0007,0.0120,0.0108,0.9982
1.500,1.0000,0.6456,0.0332,0.0605,0.0479,0.8037,0.7261,0.7394
2.256,0.8334,0.0608,0.9988,0.0023,0.9994,0.7853,0.9997,0.9986
1.80,0.5037,0.9994,0.9975,0.8443,0.0010,0.1621,0.9983,0.9994
2.43,0.3785,0.9998,0.9955,0.0002,0.0019,0.9503,0.9994,0.9983
2.1,0.0918,0.7002,0.9997,0.0215,0.4925,0.0964,0.9911,0.0040
2.178,0.7423,0.9998,0.9941,0.0002,0.8292,0.5316,0.9980,0.9994
3.39,0.5267,0.9991,0.9988,0.0011,0.9977,0.3078,0.0024,0.9943
2.281,0.6000,0.9972,0.9922,0.1136,0.0028,0.5986,0.8729,0.9999
1.196,0.6655,0.9993,0.3523,0.0028,0.9943,0.2043,0.1100,0.9992
2.206,0.7500,0.2169,0.6544,0.0014,0.0015,0.2355,0.0107,0.9988
