WBGene00001130,ce.dyn_1,X,15572311,15572906,15568921,15573021,+
WBGene00003386,ce.mod_1,V,8910110,8910931,8909704,8914040,-
WBGene00004719,ce.sad_1,X,13488940,13489651,13487552,13500668,-
WBGene00006755,ce.unc_16,III,9554414,9554865,9546258,9557450,+
WBGene00001335,ce.erp_1,X,3801578,3801894,3800033,3803464,-
WBGene00004316,ce.rbf_1,III,6700438,6701128,6675760,6703998,+
WBGene00003967,ce.pdr_1,III,13772284,13772759,13771513,13773345,+
#
#
#
### test coordinates for 1pct ###
#WBGene00000666,dyn_1t1,X,157227,173021,15568921,15573021,+
#WBGene00000622,dyn_1t2,X,140227,167341,155689,165730,+
#WBGene00011606,test_g1,X,162899,163137,135689,168730,+
#WBGene00022435,test_g2,V,164933,169132,163842,172210,-
#WBGene00000000,test,MtDNA,45,55,35,65,-
### test coordinates for mingen ###
#WBG001,t1,II,50,70,25,95,+
#WBG002,t2,II,90,110,85,115,+
# DON'T leave any blank lines!
