gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
1.429,0.2442,0.3411,0.1250,0.9981,0.5630,0.0009,0.0115,0.9985
3.36,0.3272,0.4787,0.9882,0.0136,0.3252,0.9896,0.3940,0.9998
1.133,0.5468,0.9999,0.4509,0.5505,0.9668,0.9994,0.4358,0.9984
1.72,0.0050,0.9954,0.9997,0.9976,0.9999,0.0001,0.5685,0.9935
1.341,0.1026,0.4163,0.9989,0.9974,0.9119,0.0007,0.0016,0.9979
1.473,0.5125,0.0021,0.9771,0.9990,0.0037,0.0013,0.0009,0.9990
2.210,0.1722,0.5856,0.9988,0.9988,0.9970,0.0016,0.0017,0.9953
1.298,0.1286,0.0899,0.0243,0.9990,0.2950,0.0019,0.0007,0.9999
2.113,0.3836,0.6878,0.0053,0.2214,0.9995,0.9930,0.9024,0.9949
1.166,0.1354,0.7694,0.9994,0.7574,0.1601,0.0130,0.0077,0.9950
2.52,0.0946,0.6987,0.9615,0.9676,0.3479,0.0216,0.0015,0.9867
1.316,0.5564,0.2772,0.9971,0.5189,0.5539,0.0021,0.0356,0.9993
1.273,0.3359,0.1827,0.9955,0.9959,0.4510,0.4812,0.0043,0.9981
1.134,0.5381,0.7450,0.8335,0.9969,0.8478,0.2723,0.0182,0.9958
3.32,0.0826,0.4035,0.9975,0.9987,0.6587,0.0032,0.0434,0.9949
1.373,0.2337,0.9935,0.9808,0.8586,0.7325,0.0002,0.0018,0.9996
2.243,0.2980,0.9971,0.9974,0.9920,0.6915,0.9954,0.5633,0.9989
2.245,0.5039,0.2331,0.8783,0.9998,0.9976,0.0060,0.5649,0.9984
2.228,0.3600,0.6075,0.9964,0.9723,0.9998,0.9955,0.0498,0.9962
4.2,0.0980,0.5926,0.8186,0.9985,0.9821,0.0035,0.1350,0.9834
1.402,0.0954,0.9982,0.9990,0.0020,0.7188,0.0084,0.0028,0.9953
1.60,0.0992,0.9932,0.9853,0.3418,0.9976,0.0003,0.9417,0.9977
1.58,0.0214,0.9991,0.9986,0.9999,0.9923,0.9964,0.7846,0.9986
1.55,0.0723,0.9925,0.9993,0.9902,0.0021,0.9979,0.9932,0.9994
1.314,0.3856,0.5040,0.9976,0.9976,0.4321,0.0030,0.2737,0.9994
1.19,0.0023,0.9985,0.9949,0.0076,0.9878,0.9830,0.9863,0.9961
1.399,0.1918,0.5906,0.7640,0.9970,0.9954,0.0034,0.0015,0.9990
1.205,0.2870,0.8266,0.9766,0.0016,0.9917,1.0000,0.0008,0.9978
3.11,0.2071,0.9977,0.0035,0.9952,0.6131,0.6336,0.9931,0.9979
1.180,0.2926,0.6173,0.5128,0.9995,0.3164,0.0060,0.4482,0.9983
1.221,0.0555,0.8583,0.8041,0.9508,0.9925,0.7054,0.0151,0.9976
2.37,0.1711,0.1451,0.0059,0.9983,0.7815,0.0059,0.0098,0.9972
2.54,0.4354,0.9936,0.9753,0.0619,0.3025,0.0004,0.6221,0.9912
1.93,0.0085,0.9951,0.8523,0.9936,0.7695,0.7581,0.0058,0.9935
